74.99693	-1832.92859	-1832.92733	-1829.9528	-1829.94281	
75.00706	-1832.93383	-1832.92733	-1829.95804	-1829.94281	
75.01711	-1832.94105	-1832.92733	-1829.96526	-1829.94281	
75.02727	-1832.95041	-1832.92733	-1829.97463	-1829.94281	
75.03756	-1832.96205	-1832.92733	-1829.98626	-1829.94281	
75.04772	-1832.97556	-1832.93605	-1829.99977	-1829.94281	
75.05788	-1832.99116	-1832.93605	-1830.01537	-1829.95154	
75.06804	-1833.00881	-1832.94478	-1830.03303	-1829.96027	
75.07817	-1833.02845	-1832.94478	-1830.05267	-1829.97772	
75.08838	-1833.05036	-1832.96223	-1830.07458	-1829.98645	
75.09903	-1833.07556	-1832.97969	-1830.09977	-1830.01263	
75.10868	-1833.10008	-1833.01459	-1830.12429	-1830.03881	
75.11881	-1833.12798	-1833.0495	-1830.1522	-1830.06499	
75.12898	-1833.15804	-1833.08441	-1830.18225	-1830.09989	
75.13916	-1833.19023	-1833.12804	-1830.21444	-1830.14353	
75.1493	-1833.22433	-1833.17167	-1830.24855	-1830.18716	
75.15941	-1833.26038	-1833.21531	-1830.28459	-1830.22207	
75.16962	-1833.29883	-1833.25894	-1830.32305	-1830.27443	
75.17976	-1833.33912	-1833.30257	-1830.36334	-1830.31806	
75.19002	-1833.382	-1833.35493	-1830.40621	-1830.36169	
75.20008	-1833.42606	-1833.39857	-1830.45027	-1830.41405	
75.21021	-1833.47246	-1833.45965	-1830.49668	-1830.46641	
75.22045	-1833.52146	-1833.51201	-1830.54567	-1830.51877	
75.23056	-1833.57188	-1833.56437	-1830.5961	-1830.57113	
75.24078	-1833.625	-1833.62546	-1830.64921	-1830.63222	
75.25094	-1833.67977	-1833.67782	-1830.70398	-1830.69331	
75.26099	-1833.73599	-1833.73018	-1830.76021	-1830.74567	
75.27114	-1833.79488	-1833.78254	-1830.81909	-1830.81548	
75.28129	-1833.85585	-1833.8349	-1830.88006	-1830.86784	
75.29142	-1833.9187	-1833.88726	-1830.94292	-1830.9202	
75.3016	-1833.98393	-1833.94834	-1831.00814	-1830.97256	
75.3118	-1834.05137	-1834.00943	-1831.07558	-1831.02492	
75.32211	-1834.12172	-1834.06179	-1831.14593	-1831.086	
75.33211	-1834.19188	-1834.1316	-1831.2161	-1831.14709	
75.34227	-1834.26529	-1834.19269	-1831.2895	-1831.20818	
75.35247	-1834.34097	-1834.2625	-1831.36518	-1831.27799	
75.36281	-1834.42	-1834.34104	-1831.44422	-1831.35653	
75.37294	-1834.49935	-1834.41958	-1831.52357	-1831.42634	
75.38307	-1834.58076	-1834.49812	-1831.60498	-1831.51361	
75.39321	-1834.66431	-1834.58539	-1831.68852	-1831.59215	
75.40341	-1834.75052	-1834.67266	-1831.77473	-1831.68814	
